time gssi_420mhz
3.4442270059e-08 -4.08741649e-12
3.4540117417e-08 -3.79186870e-12
3.4637964775e-08 -3.51767128e-12
3.4735812133e-08 -3.26329636e-12
3.4833659491e-08 -3.02732611e-12
3.4931506849e-08 -2.80839504e-12
3.5029354207e-08 -2.60533311e-12
3.5127201566e-08 -2.41697348e-12
3.5225048924e-08 -2.24219984e-12
3.5322896282e-08 -2.08002738e-12
3.5420743640e-08 -1.92960815e-12
3.5518590998e-08 -1.79006482e-12
3.5616438356e-08 -1.66067768e-12
3.5714285714e-08 -1.54060184e-12
3.5812133072e-08 -1.42917145e-12
3.5909980431e-08 -1.32583406e-12
3.6007827789e-08 -1.22994631e-12
3.6105675147e-08 -1.14100776e-12
3.6203522505e-08 -1.05852858e-12
3.6301369863e-08 -9.81987135e-13
3.6399217221e-08 -9.10988935e-13
3.6497064579e-08 -8.45135679e-13
3.6594911937e-08 -7.84049833e-13
3.6692759295e-08 -7.27334080e-13
3.6790606654e-08 -6.74737854e-13
3.6888454012e-08 -6.25971411e-13
3.6986301370e-08 -5.80678066e-13
3.7084148728e-08 -5.38702964e-13
3.7181996086e-08 -4.99739166e-13
3.7279843444e-08 -4.63606003e-13
3.7377690802e-08 -4.30067939e-13
3.7475538160e-08 -3.98981582e-13
3.7573385519e-08 -3.70115446e-13
3.7671232877e-08 -3.43346429e-13
3.7769080235e-08 -3.18521665e-13
3.7866927593e-08 -2.95511560e-13
3.7964774951e-08 -2.74135926e-13
3.8062622309e-08 -2.54305040e-13
3.8160469667e-08 -2.35900876e-13
3.8258317025e-08 -2.18857750e-13
3.8356164384e-08 -2.03046408e-13
3.8454011742e-08 -1.88321188e-13
3.8551859100e-08 -1.74720307e-13
3.8649706458e-08 -1.62106546e-13
3.8747553816e-08 -1.50399105e-13
3.8845401174e-08 -1.39515470e-13
3.8943248532e-08 -1.29419905e-13
3.9041095890e-08 -1.20035400e-13
3.9138943249e-08 -1.11423637e-13
3.9236790607e-08 -1.03366868e-13
3.9334637965e-08 -9.58523699e-14
3.9432485323e-08 -8.89155865e-14
3.9530332681e-08 -8.25512926e-14
